track_id,name,artists,album,release_date,duration_ms,explicit,popularity,release_year,duration_min,categoria_duracao
4tbC0eXSu3Bd5gnPoY3YXB,My Girl,"Vintage Culture, Fancy Inc",My Girl,2019-05-24,234782,False,54,2019,3.9130333333333334,média
7sRBlhkgNQq1OOFoiXxdAP,Meu Coração Pegou Ar,"Jonas Esticado, Matheus & Kauan",Meu Coração Pegou Ar,2019-05-24,161153,False,25,2019,2.6858833333333334,curta
3ufbWtzQSxYyIhllnGgKJt,Teste da Mãozinha,"Hugo & Guilherme, Henrique & Juliano",Teste da Mãozinha,2018-10-12,172472,False,0,2018,2.8745333333333334,curta
543bCW2ruMPmxUBWirQ3MR,Cross Me (feat. Chance the Rapper & PnB Rock),"Ed Sheeran, Chance the Rapper, PnB Rock",Cross Me (feat. Chance the Rapper & PnB Rock),2019-05-24,206186,True,58,2019,3.4364333333333335,média
6QwFUcPc5nhsqZuhXUYtV7,Tijolão - Ao Vivo,Jorge & Mateus,Tijolão (ao Vivo),2019-05-24,175219,False,65,2019,2.9203166666666664,curta
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,"MEDUZA, Goodboys",Piece Of Your Heart,2019-02-01,152913,False,72,2019,2.54855,curta
2oEiP9LTNw1xMc0AhpJfSL,Sofrendo Ao Quadrado - Ao Vivo Em Goiânia / 2019,Pedro Paulo & Alex,Das Repúblicas Para O Brasil (Ao Vivo Em Goiânia / 2019),2019-04-18,152778,False,44,2019,2.5463,curta
4rmLkydzgiALPSBQs3veCR,"Dás Arábia, Pt. 2","Costa Gold, Haitam","Dás Arábia, Pt. 2",2019-05-31,258960,False,43,2019,4.316,longa
1HpzOCZbNWzxvvXfSGtSrX,Find U Again (feat. Camila Cabello),"Mark Ronson, Camila Cabello",Find U Again (feat. Camila Cabello),2019-05-30,176416,False,54,2019,2.9402666666666666,curta
05CwHjIk71RXVU40boRMnR,Call You Mine (feat. Bebe Rexha),"The Chainsmokers, Bebe Rexha",World War Joy,2019-05-31,217653,False,1,2019,3.62755,média
2WyRfGeHo97VC5mP1BBSzr,Mother's Daughter,Miley Cyrus,SHE IS COMING,2019-05-31,219080,True,2,2019,3.6513333333333335,média
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,Never Really Over,2019-05-31,223523,False,71,2019,3.7253833333333333,média
72N0CRIAqjETbhghrkCUW2,Dois Enganados,"Murilo Huff, Marília Mendonça","Pra Ouvir Tomando uma, Vol. 1",2019-04-12,172751,False,0,2019,2.879183333333333,curta
4c1WgUnHXq2LEncGHKgj1I,Dream Glow (BTS World Original Soundtrack) - Pt. 1,"BTS, Charli xcx",Dream Glow (BTS World Original Soundtrack) [Pt. 1],2019-06-07,187457,False,1,2019,3.1242833333333335,média
0DiDStADDVh3SvAsoJAFMk,Only Human,Jonas Brothers,Happiness Begins,2019-06-07,183000,False,73,2019,3.05,média
3CgZi8DMUftJHK6WL2gKc1,Um Pedido,Hungria,Um Pedido,2019-06-07,211985,False,1,2019,3.5330833333333334,média
0vrmHPfoBadXVr2n0m1aqZ,Heaven,Avicii,TIM,2019-06-06,277261,False,70,2019,4.621016666666667,longa
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,Love In The Future (Expanded Edition),2013-08-30,269560,False,88,2013,4.492666666666667,longa
2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),"Avicii, Aloe Blacc",TIM,2019-06-06,157202,False,75,2019,2.620033333333333,curta
7o6mPqSSF4AqyoljLLfYz6,Conselho - Ao Vivo,Israel & Rodolffo,Conselho (ao Vivo),2019-06-07,142413,False,33,2019,2.37355,curta
4Jba76DjAcgEvvGfIopNTl,Desencana,"Wesley Safadão, MC Kekel",Desencana,2019-06-07,157051,False,0,2019,2.6175166666666665,curta
3mOTImYvsTNYV72s66e2pc,Sai Pra Lá,"Mc Don Juan, MC Hariel",Sai Pra Lá,2019-03-25,136615,False,0,2019,2.2769166666666667,curta
1FSn7B4RfmM7USp7IbCCwd,Refém,Rafael Allmark,Rafael Allmark,2019-04-30,184087,False,0,2019,3.0681166666666666,média
29fRTIKsJhLUJoldM89GZS,You Need To Calm Down,Taylor Swift,You Need To Calm Down,2019-06-14,171386,False,19,2019,2.8564333333333334,curta
0HocIafyaS4C7rDGTJXYnj,Bomba Relógio,"Luísa Sonza, Vitão",Bomba Relógio,2019-06-13,210837,False,41,2019,3.51395,média
6PrHpASrdyqydEKc8JFmEX,Tiro Certo - Ao Vivo,"Zé Felipe, Gusttavo Lima","Zé Felipe, Vol. 1 (ao Vivo)",2019-06-12,179064,False,47,2019,2.9844,curta
7FXjPI4dE1Eian6Exy6VEa,Cida,"Agnes Nunes, Xamã",Cida,2019-06-12,186000,False,54,2019,3.1,média
161tk6AjNHvS8LC7Y4MHur,YoYo,"Gloria Groove, IZA",YoYo,2019-06-13,156521,False,0,2019,2.6086833333333335,curta
7FEwp8BavoEVE3AnxJDchc,No Guidance (feat. Drake),"Chris Brown, Drake",No Guidance (feat. Drake),2019-06-08,260640,True,2,2019,4.344,longa
3tu0GkIZwwkmILoD4HemBq,Bebe e Vem Me Procurar,Raí Saia Rodada,Bebe e Vem Me Procurar,2019-04-18,154291,False,57,2019,2.5715166666666667,curta
2SC14LGDbRWRlyLg9Wupa0,Faz Gostoso (feat. Anitta),"Madonna, Anitta",Madame X (Deluxe),2019-06-14,245706,False,51,2019,4.0951,longa
1HEr5uCRyuuLlVCOB1RiTE,Garupa,"Luísa Sonza, Pabllo Vittar",Garupa,2019-06-13,128067,False,45,2019,2.13445,curta
78kar2tZk7655xZMibzXO3,Oi,Lagum,Coisas da Geração,2019-06-14,175973,False,62,2019,2.9328833333333333,curta
4ow47hEGWz7eKykRH3npQP,Detesto Despedidas,Lagum,Coisas da Geração,2019-06-14,174720,False,53,2019,2.912,curta
0QopfywHKJZH8bnt8Cj9qr,Make It Hot,"Major Lazer, Anitta",Make It Hot,2019-06-19,168397,False,21,2019,2.8066166666666668,curta
24wIxeVejXRhYJPrOFpJbg,Pa' Lante,"Alex Sensation, Anitta, Luis Fonsi",Pa' Lante,2019-06-21,174893,False,46,2019,2.9148833333333335,curta
6iW38RGqdDGOofmz2HeXLW,Piece Of Your Heart - Alok Remix,"MEDUZA, Alok, Goodboys",Piece Of Your Heart (Alok Remix),2019-06-07,166451,False,72,2019,2.7741833333333332,curta
0TK2YIli7K1leLovkQiNik,Señorita,"Shawn Mendes, Camila Cabello",Señorita,2019-06-21,190960,False,81,2019,3.1826666666666665,média
0h9xMQP3ctuibd4Ce2037O,Supera - Ao Vivo,Péricles,Pagode do Pericão (Ao Vivo),2019-05-17,232278,False,1,2019,3.8713,média
1a1KuK97CSE29fFqufkheK,Juras de Amor (Vai Chorar) - Ao Vivo,Wesley Safadão,TBT (Ao Vivo),2019-06-20,158960,False,0,2019,2.6493333333333333,curta
3TvRRQj7qg8GOD612X9hKT,Namorar Não Dá,"MC Kevin o Chris, Vitor Canetinha",Namorar Não Dá,2019-03-28,122462,True,53,2019,2.0410333333333335,curta
31yFXM26dazFnWI2eoOM5R,Ela Vem,"MC G15, Mc Livinho",Ela Vem,2019-06-18,196800,False,0,2019,3.28,média
6fTt0CH2t0mdeB2N9XFG5r,Panini,Lil Nas X,7,2019-06-21,114893,False,67,2019,1.9148833333333333,muito curta
2pkiYFWrja3oTlTwDaTypd,Rockstar,"Jovem Dex, Neves",Rockstar,2019-05-24,254481,False,37,2019,4.24135,longa
3h3fui1QXImL2zRcs9v2Lc,A Casa É Sua,"Casa Worship, Julliany Souza, Léo Brandão",A Casa É Sua,2019-02-23,562388,False,2,2019,9.373133333333334,muito longa
2KyXyTrp3kp1Fsg7B1osYD,Para Pensa e Volta (feat. Marília Mendonça) - Ao Vivo,"Yasmin Santos, Marília Mendonça",Yasmin Santos Ao Vivo em São Paulo - EP 2,2019-06-28,174178,False,3,2019,2.9029666666666665,curta
