date,track_id
2020-01-02,3J5Pu25BODMex4Jpy4l6FL
2020-01-02,2RMOwSvOGQyy985Vx4VSGQ
2020-01-02,3vSXPjfcebTt5mB8DXHWM6
2020-01-02,5cN5ZOVcYBl4Lnq50Zeqsx
2020-01-02,4xwPOyN9VgaTPehdsLiYul
2020-01-02,2YpeDb67231RjR0MgVLzsG
2020-01-02,31yFXM26dazFnWI2eoOM5R
2020-01-02,1vG3YuKRYqPwTmNmYgqkpg
2020-01-02,6mdU8glNHYdBBj5DuKSL1B
2020-01-02,3dPvQLKl42dMYWV4LWRTLK
2020-01-02,0vT797IpZpF5o1XLCnWCUL
2020-01-02,6hrV6KYL9zM8vFAbOSxFHY
2020-01-02,6QwFUcPc5nhsqZuhXUYtV7
2020-01-02,2qD7VoDYcrAPY0cVEfpsR5
2020-01-02,6ocbgoVGwYJhOv1GgI9NsF
2020-01-02,3GmJxfnUDrIs1iCfKUELFz
2020-01-02,4zZ2rPOa8itw3VuusVSicv
2020-01-02,7FiIQXpIeLo3ITfGGpb8PB
2020-01-02,39cmB3ZoTOLwOTq7tMNqKa
2020-01-02,7HLU2aJTAQfSIgJ2dMASsP
2020-01-02,0RiRZpuVRbi7oqRdSMwhQY
2020-01-02,5gvrBqNFFEWcxYPt3mamvJ
2020-01-02,3mNmUjoDHYDYj08IaRPtg0
2020-01-02,450ngaSmjQMdJFVzCADNQB
2020-01-02,74n5d5M21JnC4WJ6gdkggK
2020-01-02,563yuGweEqRVQtjfsDVRyK
2020-01-02,49pu85144Xir6PgWjeyJhG
2020-01-02,22rcaYTa2UgcLCbeO0NoNj
2020-01-02,5U28PY9MekLyCBYtLHGQpe
2020-01-02,4UANYptjv2kpV6IY7IjXoJ
2020-01-02,3L2uyIJoJPjYkSETVNSPBQ
2020-01-02,21jGcNKet2qwijlDFuPiPb
2020-01-02,14kRWkCWBYfQqILflEcpSJ
2020-01-02,3WjSkl7VDWY1prwJw7dSG0
2020-01-02,3fWhwTdoZXScaoGReWzvtv
2020-01-02,3yOlyBJuViE2YSGn3nVE1K
2020-01-02,2PqPSf3gtTED79rWGwVtYg
2020-01-02,7vZqxuOvEwRHsGVaDykzpY
2020-01-02,4eB8rsNNm5791m3uvEBNLR
2020-01-02,1oQppEGTHYN53xfEaTz4ua
2020-01-02,4BkjISAYyQ6OMnEpzpQxgA
2020-01-02,65i9Mc7h1CG7ssI1OhMPcT
2020-01-02,1YAtg8jo5fR3Q01eO2jPTl
2020-01-02,5rNNZ6fVYxkhwqUfImVhU1
2020-01-02,7h0d2h0fUmzbs7zeFigJPn
2020-01-02,2qiqXQ2Suc253bR7k9AKVD
2020-01-02,0h1mVA8gOPR71lxSeY67uT
2020-01-02,1xg3EbmhAr1cfNOA55pvKH
2020-01-02,3jjujdWJ72nww5eGnfs2E7
2020-01-02,11Y1IGMIThaxu4ijcXRNYs
2020-01-02,17Ryox5vWKp92IDW87C5PI
2020-01-02,3YqLyRFwjGuPBT7EHoyQH7
2020-01-02,0H8CBal2Dcu5Yc001VotZN
2020-01-02,0IQCOAw9ZAI6WnXIrl481F
2020-01-02,5MArTXEVyKBwoodjdy04fk
2020-01-02,6WrI0LAC5M1Rw2MnX2ZvEg
2020-01-02,1qy7aOHnfnOMJoT1fhoLYG
2020-01-02,7oEr56KG6odStlQH0nvdyr
2020-01-02,4pl0csAczZemDLdyNYOmxT
2020-01-02,4pnlRYoaaGu24SuC3et5Pv
2020-01-02,5FFpRbsH9WDYNoLauRAHpj
2020-01-02,1DFD5Fotzgn6yYXkYsKiGs
2020-01-02,72N0CRIAqjETbhghrkCUW2
2020-01-02,3tU3UAasaDA9OixXGC3O33
2020-01-02,3rDAHk73LZmgJIyGZstWQ0
2020-01-02,23GNCotvXa7WPvgYuruJjE
2020-01-02,5MMrkwK6AgNAsgHVdC7daZ
2020-01-02,5EKHbW7mXcAR4hCyS3YXjb
2020-01-02,2X8sssaxS5GReg6945B6RW
2020-01-02,2bbFhnxYjeb9jYEX2MDKLQ
2020-01-02,5rwdmpN5eMWIIwK4R96vv1
2020-01-02,5fY9bVl1Wj4PIM3wnduWop
2020-01-02,6lK3nCiigk34SGqEjpQoqO
2020-01-02,6sRLrSetyIwIKhW1eMlUNP
2020-01-02,2b8fOow8UzyDFAE27YhOZM
2020-01-02,3RbXsVQr4jeTxvT35Hssq3
2020-01-02,11DkUDkBt9kaha1QRnuCMU
