track_id,name,artists,album,release_date,duration_ms,explicit,popularity,preview_url,spotify_url
3S2iI46NmKyZsoxs2NByIP,Nêga,"Tarcísio do Acordeon, Vitor Fernandes",A Nova Cara das Vaquejadas,2020-06-02,258220,False,0,,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
1X0MaGErD8rcspqQs9s2m0,Só Tem Eu,Zé Felipe,Só Tem Eu,2020-10-09,164307,False,52,,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
6q4gQcJ1JousmpmUTw0E5f,Cheiro de Saudade - Ao Vivo,Guilherme & Benuto,Cheiro de Saudade (Ao Vivo),2020-09-25,141059,False,37,,https://open.spotify.com/track/6q4gQcJ1JousmpmUTw0E5f
4DfPhCFm0Cx6VXr5Rxkx6D,Atrasadinha - Live,"Felipe Araújo, Ferrugem",Por Inteiro (Ao Vivo),2019-01-17,172766,False,65,,https://open.spotify.com/track/4DfPhCFm0Cx6VXr5Rxkx6D
3HCvks6mkO22FzhieKHI30,Só Gratidão,Mc Lipi,Álbum das Relíquia,2020-08-28,248500,False,55,,https://open.spotify.com/track/3HCvks6mkO22FzhieKHI30
3bUDPTCStUeLcUgXgvepQh,inesquecível,"GIULIA BE, Luan Santana",inesquecível,2020-10-09,186519,False,52,,https://open.spotify.com/track/3bUDPTCStUeLcUgXgvepQh
7benotyTvLY2vUsDKtxbiA,Café e Amor - Ao Vivo,Gusttavo Lima,Café e Amor (Ao Vivo),2020-10-08,204700,False,0,,https://open.spotify.com/track/7benotyTvLY2vUsDKtxbiA
3KfyRuNdcCGsZb15sqrXDA,Um Sabadão Desse Uma Lua Dessa,"Mc Talibã,MC 3L",Um Sabadão Desse Uma Lua Dessa,2020-06-23,172747,False,0,,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA
38BuaDkieTqCDqaawXsf78,SET DJ GM 2.0,"MC Paulin da Capital, Mc Magal, Mc Lele JP, Mc Neguinho do ITR, Mc Barone, Mc CL, MC Yuri, Mc Piedro, Mc Dricka, Mc Lipi",SET DJ GM 2.0,2020-05-15,475200,False,0,,https://open.spotify.com/track/38BuaDkieTqCDqaawXsf78
1dHfCJMj1eJMFcKF7VzqR5,Fala Comigo Bebê - Ao Vivo,Os Barões Da Pisadinha,DVD Novo dos Barões da Pisadinha Ao Vivo,2020-10-15,150933,False,34,,https://open.spotify.com/track/1dHfCJMj1eJMFcKF7VzqR5
2JTir3y1VuJQmexiTCMcTP,Recairei - Ao Vivo,Os Barões Da Pisadinha,Piseiro 2020 Ao Vivo,2020-10-15,166837,False,58,,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
39d68jIHbCiFdXWI6jmALW,Se Namorar Fosse Bom - Ao Vivo,Os Barões Da Pisadinha,DVD Novo dos Barões da Pisadinha Ao Vivo,2020-10-15,156063,False,42,,https://open.spotify.com/track/39d68jIHbCiFdXWI6jmALW
4i1U2ZQJdVCAczbiwsXf3H,Ta Com Saudade Quer TBT ?,"Mc Talibã, Mc Rennan",Ta Com Saudade Quer TBT ?,2020-06-23,123768,True,0,,https://open.spotify.com/track/4i1U2ZQJdVCAczbiwsXf3H
1ere9b9vDw2N3m9d4uiXxa,Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone",Facas (Ao Vivo),2020-10-15,196379,False,69,,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
7jiGFTWeO3MmMN9dpHRjUZ,Século 21,"Léo Santana, Luísa Sonza",Século 21,2020-10-16,167838,True,43,,https://open.spotify.com/track/7jiGFTWeO3MmMN9dpHRjUZ
3rRin3LyLY92kpEbkCgwf4,Basta Você Me Ligar - Ao Vivo,"Os Barões Da Pisadinha, Xand Avião",DVD Novo dos Barões da Pisadinha Ao Vivo,2020-10-15,182976,False,61,,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
08LiZsFrLkWYtd20jeqWLh,Meu Lado da História,"Nandx710, Choji, David Gomes",Meu Lado da História,2019-03-27,151896,True,57,,https://open.spotify.com/track/08LiZsFrLkWYtd20jeqWLh
6Teco2qa7OBfa7mjaMYSbO,Casa de Praia - Ao Vivo,"Os Barões Da Pisadinha, Thiago Brava",DVD Novo dos Barões da Pisadinha Ao Vivo,2020-10-15,146576,False,42,,https://open.spotify.com/track/6Teco2qa7OBfa7mjaMYSbO
